categorie,type,prix,adresse,lien
vetements-enfants,Ensemble enfant,9000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773123_uploaded_image1_1717195531.jpg
vetements-enfants,Robe anniversaire ou cérémonie,15000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775997_uploaded_image1_1717372054.jpg
vetements-enfants,Robe pour anniversaire ou cérémonie,15000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775993_uploaded_image1_1717371915.jpg
vetements-enfants,Ensemble 5 pieces,6000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775968_uploaded_image1_1717370720.jpg
vetements-enfants,Grenouillère 0 - 9 mois,5000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775960_uploaded_image1_1717370364.jpg
vetements-enfants,Ensemble bas large fille 10 - 14 ans,12000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775932_uploaded_image1_1717369632.jpg
vetements-enfants,Ensemble coton fille,5000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775892_uploaded_image1_1717367975.jpg
vetements-enfants,Robe brodé,15000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775889_uploaded_image1_1717367795.jpg
vetements-enfants,Robe en coton 9 - 24 mois,5000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775887_uploaded_image1_1717367631.jpg
vetements-enfants,Robe coton fille 2 - 5 ans,6000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775884_uploaded_image1_1717367280.jpg
vetements-enfants,Robes brodé,10000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775869_uploaded_image1_1717366678.jpg
vetements-enfants,Ensemble bas,5000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775865_uploaded_image1_1717366540.jpg
vetements-enfants,Ensemble bas,5000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775846_uploaded_image2_1717365985.jpeg
vetements-enfants,Vêtement enfant,5000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4730553_uploaded_image1_1715080309.jpg
vetements-enfants,Vêtements enfant,8000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4770789_uploaded_image1_1717088821.jpg
vetements-enfants,Slip enfant,2500.0,"location_onMermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4766856_uploaded_image1_1716912176.jpg
